application_number,brand_name,generic_name,company,approval_year,submission_class
NDA004782,CONJUGATED ESTROGENS,"ESTROGENS, CONJUGATED",Prasco Laboratories,1942,Type 1 - New Molecular Entity
NDA005010,N/A,N/A,N/A,1942,Type 1 - New Molecular Entity
NDA005213,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,Genus Lifesciences Inc.,1943,Type 1 - New Molecular Entity
NDA005845,N/A,N/A,N/A,1946,Type 1 - New Molecular Entity
NDA005970,N/A,N/A,N/A,1946,Type 1 - New Molecular Entity
NDA005914,N/A,N/A,N/A,1948,Type 1 - New Molecular Entity
NDA006412,N/A,N/A,N/A,1948,Type 1 - New Molecular Entity
NDA006695,N/A,N/A,N/A,1949,Type 1 - New Molecular Entity
NDA006632,N/A,N/A,N/A,1949,Type 1 - New Molecular Entity
NDA007073,AZULFIDINE EN-TABS,SULFASALAZINE,Pfizer Laboratories Div Pfizer Inc,1950,Type 1 - New Molecular Entity
NDA007335,N/A,N/A,N/A,1950,Type 1 - New Molecular Entity
NDA007513,LEVOPHED,NOREPINEPHRINE BITARTRATE,"Hospira, Inc.",1950,Type 1 - New Molecular Entity
NDA007409,N/A,N/A,N/A,1950,Type 1 - New Molecular Entity
NDA007504,N/A,N/A,N/A,1950,Type 1 - New Molecular Entity
NDA007517,N/A,N/A,N/A,1950,Type 1 - New Molecular Entity
NDA007390,N/A,N/A,N/A,1951,Type 1 - New Molecular Entity
NDA007883,N/A,N/A,N/A,1951,Type 1 - New Molecular Entity
NDA007959,N/A,N/A,N/A,1951,Type 1 - New Molecular Entity
NDA008032,N/A,N/A,N/A,1951,Type 1 - New Molecular Entity
NDA007794,N/A,N/A,N/A,1951,Type 1 - New Molecular Entity
NDA008453,ANECTINE,SUCCINYLCHOLINE CHLORIDE,Sandoz Inc,1952,Type 1 - New Molecular Entity
NDA008278,N/A,N/A,N/A,1952,Type 1 - New Molecular Entity
NDA008592,N/A,N/A,N/A,1952,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA008107,N/A,N/A,N/A,1952,Type 1 - New Molecular Entity
NDA008855,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA008693,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA008565,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA008085,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA009087,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA008303,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA008883,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA008951,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA008943,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA008732,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA009053,MERCAPTOPURINE,MERCAPTOPURINE,"Florida Pharmaceutical Products, LLC",1953,Type 1 - New Molecular Entity
NDA008922,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA008848,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA008578,PYRIMETHAMINE,PYRIMETHAMINE,"OAKRUM PHARMA, LLC",1953,Type 1 - New Molecular Entity
NDA008708,N/A,N/A,N/A,1953,Type 1 - New Molecular Entity
NDA009561,N/A,N/A,N/A,1954,Type 1 - New Molecular Entity
NDA009330,LANOXIN,DIGOXIN,"Covis Pharma US, Inc",1954,Type 1 - New Molecular Entity
NDA009489,N/A,N/A,N/A,1954,Type 1 - New Molecular Entity
NDA009170,MYSOLINE,PRIMIDONE,"Bausch Health US, LLC",1954,Type 1 - New Molecular Entity
NDA008983,N/A,N/A,N/A,1954,Type 1 - New Molecular Entity
NDA009386,MYLERAN,BUSULFAN,Waylis Therapeutics LLC,1954,Type 1 - New Molecular Entity
NDA009190,LIPIODOL,ETHIODIZED OIL,Guerbet LLC,1954,Type 1 - New Molecular Entity
NDA009410,N/A,N/A,N/A,1954,Type 1 - New Molecular Entity
NDA009218,N/A,N/A,N/A,1954,Type 1 - New Molecular Entity
NDA009193,N/A,N/A,N/A,1954,Type 1 - New Molecular Entity
NDA007600,N/A,N/A,N/A,1954,Type 1 - New Molecular Entity
NDA009048,N/A,N/A,N/A,1954,Type 1 - New Molecular Entity
NDA009660,N/A,N/A,N/A,1955,Type 1 - New Molecular Entity
NDA009768,PLAQUENIL,HYDROXYCHLOROQUINE SULFATE,Advanz Pharma (US) Corp.,1955,Type 1 - New Molecular Entity
NDA010028,N/A,N/A,N/A,1955,Type 1 - New Molecular Entity
NDA009987,N/A,N/A,N/A,1955,Type 1 - New Molecular Entity
NDA009766,N/A,N/A,N/A,1955,Type 1 - New Molecular Entity
NDA009435,NESACAINE,CHLOROPROCAINE HYDROCHLORIDE,"Fresenius Kabi USA, LLC",1955,Type 1 - New Molecular Entity
NDA009750,N/A,N/A,N/A,1955,Type 1 - New Molecular Entity
NDA010611,N/A,N/A,N/A,1956,Type 1 - New Molecular Entity
NDA010155,N/A,N/A,N/A,1956,Type 1 - New Molecular Entity
NDA010679,N/A,N/A,N/A,1956,Type 1 - New Molecular Entity
NDA010379,CYTOMEL,LIOTHYRONINE SODIUM,Pfizer Laboratories Div Pfizer Inc,1956,Type 1 - New Molecular Entity
NDA010392,N/A,N/A,N/A,1956,Type 1 - New Molecular Entity
NDA010251,N/A,N/A,N/A,1956,Type 1 - New Molecular Entity
NDA010554,N/A,N/A,N/A,1956,Type 1 - New Molecular Entity
NDA010423,N/A,N/A,N/A,1956,Type 1 - New Molecular Entity
NDA010349,N/A,N/A,N/A,1956,Type 1 - New Molecular Entity
NDA010571,N/A,N/A,N/A,1956,Type 1 - New Molecular Entity
NDA010585,N/A,N/A,N/A,1957,Type 1 - New Molecular Entity
NDA010997,N/A,N/A,N/A,1957,Type 1 - New Molecular Entity
NDA009519,N/A,N/A,N/A,1957,Type 1 - New Molecular Entity
NDA010775,N/A,N/A,N/A,1957,Type 1 - New Molecular Entity
NDA009149,N/A,N/A,N/A,1957,Type 1 - New Molecular Entity
NDA010796,N/A,N/A,N/A,1957,Type 1 - New Molecular Entity
NDA010841,N/A,N/A,N/A,1957,Type 1 - New Molecular Entity
NDA010669,LEUKERAN,CHLORAMBUCIL,Waylis Therapeutics LLC,1957,Type 1 - New Molecular Entity
NDA011123,N/A,N/A,N/A,1957,Type 1 - New Molecular Entity
NDA010909,N/A,N/A,N/A,1957,Type 1 - New Molecular Entity
NDA011153,MEDROL,METHYLPREDNISOLONE,Pharmacia & Upjohn Company LLC,1957,Type 1 - New Molecular Entity
NDA010596,CELONTIN,METHSUXIMIDE,Parke-Davis Div of Pfizer Inc,1957,Type 1 - New Molecular Entity
NDA010670,N/A,N/A,N/A,1957,Type 1 - New Molecular Entity
NDA010653,N/A,N/A,N/A,1957,Type 1 - New Molecular Entity
NDA011161,N/A,N/A,N/A,1957,Type 1 - New Molecular Entity
NDA010599,N/A,N/A,N/A,1957,Type 1 - New Molecular Entity
NDA011340,N/A,N/A,N/A,1958,Type 1 - New Molecular Entity
NDA011641,N/A,N/A,N/A,1958,Type 1 - New Molecular Entity
NDA011210,N/A,N/A,N/A,1958,Type 1 - New Molecular Entity
NDA011664,N/A,N/A,N/A,1958,Type 1 - New Molecular Entity
NDA011366,KEVEYIS,DICHLORPHENAMIDE,"Xeris Pharmaceuticals, Inc.",1958,Type 1 - New Molecular Entity
NDA011145,N/A,N/A,N/A,1958,Type 1 - New Molecular Entity
NDA011287,N/A,N/A,N/A,1958,Type 1 - New Molecular Entity
NDA011338,N/A,N/A,N/A,1958,Type 1 - New Molecular Entity
NDA011722,N/A,N/A,N/A,1959,Type 1 - New Molecular Entity
NDA011792,SOMA,CARISOPRODOL,Viatris Specialty LLC,1959,Type 1 - New Molecular Entity
NDA011839,MEDROXYPROGESTERONE ACETATE,MEDROXYPROGESTERONE ACETATE,Mylan Pharmaceuticals Inc.,1959,Type 1 - New Molecular Entity
NDA011793,N/A,N/A,N/A,1959,Type 1 - New Molecular Entity
NDA012093,ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE,Oceanside Pharmaceuticals,1959,Type 1 - New Molecular Entity
NDA011556,N/A,N/A,N/A,1959,Type 1 - New Molecular Entity
NDA012034,N/A,N/A,N/A,1959,Type 1 - New Molecular Entity
NDA011679,N/A,N/A,N/A,1959,Type 1 - New Molecular Entity
NDA011891,N/A,N/A,N/A,1959,Type 1 - New Molecular Entity
NDA012141,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,Baxter Healthcare Corporation,1959,Type 1 - New Molecular Entity
NDA011552,N/A,N/A,N/A,1959,Type 1 - New Molecular Entity
NDA011860,N/A,N/A,N/A,1959,Type 1 - New Molecular Entity
NDA011961,MARPLAN,ISOCARBOXAZID,Lifsa Drugs LLC,1959,Type 1 - New Molecular Entity
NDA011657,N/A,N/A,N/A,1959,Type 1 - New Molecular Entity
NDA011836,N/A,N/A,N/A,1959,Type 1 - New Molecular Entity
NDA011613,N/A,N/A,N/A,1959,Type 1 - New Molecular Entity
NDA011949,N/A,N/A,N/A,1959,Type 1 - New Molecular Entity
NDA011525,IC-GREEN,INDOCYANINE GREEN,Renew Pharmaceuticals Limited,1959,Type 1 - New Molecular Entity
NDA012283,N/A,N/A,N/A,1960,Type 1 - New Molecular Entity
NDA012329,N/A,N/A,N/A,1960,Type 1 - New Molecular Entity
NDA012151,ALDACTONE,SPIRONOLACTONE,Pfizer Laboratories Div Pfizer Inc,1960,Type 1 - New Molecular Entity
NDA012249,N/A,N/A,N/A,1960,Type 1 - New Molecular Entity
NDA011963,PHOSPHOLINE IODIDE,ECHOTHIOPHATE IODIDE FOR OPHTHALMIC SOLUTION,"Fera Pharmaceuticals, LLC",1960,Type 1 - New Molecular Entity
NDA012122,N/A,N/A,N/A,1960,Type 1 - New Molecular Entity
NDA012382,N/A,N/A,N/A,1960,Type 1 - New Molecular Entity
NDA011559,BREVITAL SODIUM,METHOHEXITAL SODIUM,"Par Health USA, LLC",1960,Type 1 - New Molecular Entity
NDA012542,N/A,N/A,N/A,1960,Type 1 - New Molecular Entity
NDA012265,N/A,N/A,N/A,1960,Type 1 - New Molecular Entity
NDA012111,N/A,N/A,N/A,1960,Type 1 - New Molecular Entity
NDA012380,ZARONTIN,ETHOSUXIMIDE,Parke-Davis Div of Pfizer Inc,1960,Type 1 - New Molecular Entity
NDA011467,N/A,N/A,N/A,1960,Type 1 - New Molecular Entity
NDA012427,N/A,N/A,N/A,1960,Type 1 - New Molecular Entity
NDA012845,N/A,N/A,N/A,1961,Type 1 - New Molecular Entity
NDA010976,N/A,N/A,N/A,1961,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA012649,N/A,N/A,N/A,1961,Type 1 - New Molecular Entity
NDA012827,GLYCOPYRROLATE,GLYCOPYRROLATE,"Rising Pharma Holdings, Inc.",1961,Type 1 - New Molecular Entity
NDA012342,TRANYLCYPROMINE SULFATE,TRANYLCYPROMINE SULFATE,"Actavis Pharma, Inc.",1961,Type 1 - New Molecular Entity
NDA012254,N/A,N/A,N/A,1961,Type 1 - New Molecular Entity
NDA012703,N/A,N/A,N/A,1961,Type 1 - New Molecular Entity
NDA012657,N/A,N/A,N/A,1961,Type 1 - New Molecular Entity
NDA012753,N/A,N/A,N/A,1961,Type 1 - New Molecular Entity
NDA012772,N/A,N/A,N/A,1961,Type 1 - New Molecular Entity
NDA012836,N/A,N/A,N/A,1961,Type 1 - New Molecular Entity
NDA011909,PHENELZINE SULFATE,PHENELZINE SULFATE,Mylan Pharmaceuticals Inc.,1961,Type 1 - New Molecular Entity
NDA012911,METOPIRONE,METYRAPONE,HRA Pharma Rare Diseases,1961,Type 1 - New Molecular Entity
NDA012516,N/A,N/A,N/A,1962,Type 1 - New Molecular Entity
NDA012209,N/A,N/A,N/A,1962,Type 1 - New Molecular Entity
NDA012892,N/A,N/A,N/A,1962,Type 1 - New Molecular Entity
NDA012486,N/A,N/A,N/A,1962,Type 1 - New Molecular Entity
NDA013056,N/A,N/A,N/A,1962,Type 1 - New Molecular Entity
NDA012967,N/A,N/A,N/A,1962,Type 1 - New Molecular Entity
NDA012885,N/A,N/A,N/A,1962,Type 1 - New Molecular Entity
NDA013400,N/A,N/A,N/A,1962,Type 1 - New Molecular Entity
NDA013295,CONRAY,IOTHALAMATE MEGLUMINE,Liebel-Flarsheim Company LLC,1962,Type 1 - New Molecular Entity
NDA013217,N/A,N/A,N/A,1962,Type 1 - New Molecular Entity
NDA011808,N/A,N/A,N/A,1962,Type 1 - New Molecular Entity
NDA013157,N/A,N/A,N/A,1963,Type 1 - New Molecular Entity
NDA012787,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,"ANI Pharmaceuticals, Inc.",1963,Type 1 - New Molecular Entity
NDA013601,N/A,N/A,N/A,1963,Type 1 - New Molecular Entity
NDA014103,N/A,N/A,N/A,1963,Type 1 - New Molecular Entity
NDA012623,N/A,N/A,N/A,1963,Type 1 - New Molecular Entity
NDA013935,N/A,N/A,N/A,1963,Type 1 - New Molecular Entity
NDA013263,VALIUM,DIAZEPAM,Roche Laboratories Inc.,1963,Type 1 - New Molecular Entity
NDA013264,N/A,N/A,N/A,1963,Type 1 - New Molecular Entity
NDA014691,N/A,N/A,N/A,1964,Type 1 - New Molecular Entity
NDA014005,N/A,N/A,N/A,1964,Type 1 - New Molecular Entity
NDA015197,AMINOCAPROIC ACID,AMINOCAPROIC ACID,Hikma Pharmaceuticals USA Inc.,1964,Type 1 - New Molecular Entity
NDA014684,N/A,N/A,N/A,1964,Type 1 - New Molecular Entity
NDA014214,N/A,N/A,N/A,1964,Type 1 - New Molecular Entity
NDA050682,N/A,N/A,N/A,1964,Type 1 - New Molecular Entity
NDA012697,N/A,N/A,N/A,1964,Type 1 - New Molecular Entity
NDA014134,PROTOPAM CHLORIDE,PRALIDOXIME CHLORIDE,Baxter Healthcare Corporation,1964,Type 1 - New Molecular Entity
NDA013174,TRIAMTERENE,TRIAMTERENE,Prasco Laboratories,1964,Type 1 - New Molecular Entity
NDA013378,N/A,N/A,N/A,1964,Type 1 - New Molecular Entity
NDA013025,THAM,TROMETHAMINE,"Hospira, Inc.",1965,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA013026,N/A,N/A,N/A,1965,Type 1 - New Molecular Entity
NDA014763,N/A,N/A,N/A,1965,Type 1 - New Molecular Entity
BLA101995,COLLAGENASE SANTYL,COLLAGENASE SANTYL,"SMITH & NEPHEW, INC",1965,Type 1 - New Molecular Entity
NDA015539,N/A,N/A,N/A,1965,Type 1 - New Molecular Entity
NDA012715,N/A,N/A,N/A,1965,Type 1 - New Molecular Entity
NDA014602,CELESTONE SOLUSPAN,BETAMETHASONE ACETATE AND BETAMETHASONE SODIUM PHOSPHATE,Organon LLC,1965,Type 1 - New Molecular Entity
NDA012665,N/A,N/A,N/A,1965,Type 1 - New Molecular Entity
NDA012806,CORDRAN,FLURANDRENOLIDE,"INA Pharmaceutics, Inc",1965,Type 1 - New Molecular Entity
NDA014879,DOPRAM,DOXAPRAM HYDROCHLORIDE,Hikma Pharmaceuticals USA Inc.,1965,Type 1 - New Molecular Entity
NDA016059,N/A,N/A,N/A,1965,Type 1 - New Molecular Entity
NDA016084,ALLOPURINOL,ALLOPURINOL,"Rising Pharma Holdings, Inc.",1966,Type 1 - New Molecular Entity
NDA015500,N/A,N/A,N/A,1966,Type 1 - New Molecular Entity
NDA016000,N/A,N/A,N/A,1966,Type 1 - New Molecular Entity
NDA012429,TABLOID,THIOGUANINE,Waylis Therapeutics LLC,1966,Type 1 - New Molecular Entity
NDA016273,LASIX,FUROSEMIDE,Validus Pharmaceuticals LLC,1966,Type 1 - New Molecular Entity
NDA016245,N/A,N/A,N/A,1966,Type 1 - New Molecular Entity
NDA016029,N/A,N/A,N/A,1966,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA015921,N/A,N/A,N/A,1967,Type 1 - New Molecular Entity
NDA016320,ETHAMBUTOL HYDROCHLORIDE,ETHAMBUTOL HYDROCHLORIDE,"Marlex Pharmaceuticals, Inc.",1967,Type 1 - New Molecular Entity
NDA016194,N/A,N/A,N/A,1967,Type 1 - New Molecular Entity
NDA016033,N/A,N/A,N/A,1967,Type 1 - New Molecular Entity
NDA016418,N/A,N/A,N/A,1967,Type 1 - New Molecular Entity
NDA016584,N/A,N/A,N/A,1967,Type 1 - New Molecular Entity
NDA016099,N/A,N/A,N/A,1967,Type 1 - New Molecular Entity
NDA016131,N/A,N/A,N/A,1967,Type 1 - New Molecular Entity
NDA016092,EDECRIN,ETHACRYNIC ACID,"Bausch Health US, LLC",1967,Type 1 - New Molecular Entity
NDA016295,DROXIA,HYDROXYUREA,Waylis Therapeutics LLC,1967,Type 1 - New Molecular Entity
NDA016096,N/A,N/A,N/A,1967,Type 1 - New Molecular Entity
NDA016267,DESFERAL,DEFEROXAMINE MESYLATE,MITEM PHARMA,1968,Type 1 - New Molecular Entity
NDA016608,TEGRETOL,CARBAMAZEPINE,Novartis Pharmaceuticals Corporation,1968,Type 1 - New Molecular Entity
NDA016672,N/A,N/A,N/A,1968,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA013615,N/A,N/A,N/A,1969,Type 1 - New Molecular Entity
NDA016624,N/A,N/A,N/A,1969,Type 1 - New Molecular Entity
NDA016793,N/A,N/A,N/A,1969,Type 1 - New Molecular Entity
NDA016785,MATULANE,PROCARBAZINE HYDROCHLORIDE,"Leadiant Biosciences, Inc.",1969,Type 1 - New Molecular Entity
NDA012828,N/A,N/A,N/A,1969,Type 1 - New Molecular Entity
NDA016798,N/A,N/A,N/A,1969,Type 1 - New Molecular Entity
NDA016812,KETALAR,KETAMINE HYDROCHLORIDE,"Par Health USA, LLC",1970,Type 1 - New Molecular Entity
NDA016929,N/A,N/A,N/A,1970,Type 1 - New Molecular Entity
NDA016885,LYSODREN,MITOTANE,"ESTEVE PHARMACEUTICALS, S.A.",1970,Type 1 - New Molecular Entity
NDA016721,N/A,N/A,N/A,1970,Type 1 - New Molecular Entity
NDA016750,CORTROSYN,COSYNTROPIN,"Amphastar Pharmaceuticals, Inc.",1970,Type 1 - New Molecular Entity
NDA016782,N/A,N/A,N/A,1970,Type 1 - New Molecular Entity
NDA050109,N/A,N/A,N/A,1970,Type 1 - New Molecular Entity
NDA019853,CUPRIMINE,PENICILLAMINE,"Bausch Health US, LLC",1970,Type 1 - New Molecular Entity
NDA016774,N/A,N/A,N/A,1970,Type 1 - New Molecular Entity
NDA017001,ANCOBON,FLUCYTOSINE,Bausch Health US LLC,1971,Type 1 - New Molecular Entity
NDA016979,N/A,N/A,N/A,1971,Type 1 - New Molecular Entity
NDA016224,N/A,N/A,N/A,1971,Type 1 - New Molecular Entity
NDA016942,N/A,N/A,N/A,1971,Type 1 - New Molecular Entity
NDA016908,N/A,N/A,N/A,1971,Type 1 - New Molecular Entity
NDA016636,N/A,N/A,N/A,1971,Type 1 - New Molecular Entity
NDA017015,N/A,N/A,N/A,1972,Type 1 - New Molecular Entity
NDA017010,TRIDESILON CREAM,DESONIDE 0.05%,Encore Dermatology Inc,1972,Type 1 - New Molecular Entity
NDA017105,N/A,N/A,N/A,1972,Type 1 - New Molecular Entity
NDA017042,N/A,N/A,N/A,1972,Type 1 - New Molecular Entity
NDA016968,MIOSTAT,CARBACHOL,"Alcon Laboratories, Inc.",1972,Type 1 - New Molecular Entity
NDA017087,N/A,N/A,N/A,1972,Type 1 - New Molecular Entity
NDA016964,MARCAINE WITH EPINEPHRINE,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,"Hospira, Inc.",1972,Type 1 - New Molecular Entity
NDA016729,N/A,N/A,N/A,1973,Type 1 - New Molecular Entity
NDA016211,N/A,N/A,N/A,1973,Type 1 - New Molecular Entity
NDA017376,N/A,N/A,N/A,1973,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA017454,N/A,N/A,N/A,1973,Type 1 - New Molecular Entity
NDA050443,N/A,N/A,N/A,1973,Type 1 - New Molecular Entity
NDA017247,N/A,N/A,N/A,1973,Type 1 - New Molecular Entity
NDA016402,N/A,N/A,N/A,1973,Type 1 - New Molecular Entity
NDA017047,N/A,N/A,N/A,1973,Type 1 - New Molecular Entity
NDA017481,N/A,N/A,N/A,1974,Type 1 - New Molecular Entity
NDA017111,N/A,N/A,N/A,1974,Type 1 - New Molecular Entity
NDA017546,N/A,N/A,N/A,1974,Type 1 - New Molecular Entity
NDA017048,N/A,N/A,N/A,1974,Type 1 - New Molecular Entity
NDA017463,N/A,N/A,N/A,1974,Type 1 - New Molecular Entity
NDA050467,N/A,N/A,N/A,1974,Type 1 - New Molecular Entity
NDA017443,DANTROLENE SODIUM,DANTROLENE SODIUM,"Endo USA, Inc.",1974,Type 1 - New Molecular Entity
NDA017503,N/A,N/A,N/A,1974,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA017551,N/A,N/A,N/A,1974,Type 1 - New Molecular Entity
NDA017395,N/A,N/A,N/A,1974,Type 1 - New Molecular Entity
NDA017556,HALOG,HALCINONIDE CREAM,"Sun Pharmaceutical Industries, Inc.",1974,Type 1 - New Molecular Entity
BLA050114,PRE-PEN,BENZYLPENICILLOYL POLYLYSINE,"ALK-ABELLO, INC.",1974,Type 1 - New Molecular Entity
NDA017466,N/A,N/A,N/A,1974,Type 1 - New Molecular Entity
NDA050459,N/A,N/A,N/A,1974,Type 1 - New Molecular Entity
NDA017450,MONISTAT 7 7-DAY DISPOSABLE APPLICATORS,MICONAZOLE NITRATE,Insight Pharmaceuticals LLC,1974,Type 1 - New Molecular Entity
NDA017569,N/A,N/A,N/A,1975,Type 1 - New Molecular Entity
NDA017555,SINEMET,CARBIDOPA AND LEVODOPA,Organon LLC,1975,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA050477,N/A,N/A,N/A,1975,Type 1 - New Molecular Entity
NDA016832,N/A,N/A,N/A,1975,Type 1 - New Molecular Entity
NDA017533,KLONOPIN,CLONAZEPAM,"H2-Pharma, LLC",1975,Type 1 - New Molecular Entity
NDA017577,N/A,N/A,N/A,1975,Type 1 - New Molecular Entity
NDA017613,N/A,N/A,N/A,1975,Type 1 - New Molecular Entity
NDA017575,N/A,N/A,N/A,1975,Type 1 - New Molecular Entity
NDA017525,N/A,N/A,N/A,1975,Type 1 - New Molecular Entity
NDA017694,N/A,N/A,N/A,1976,Type 1 - New Molecular Entity
NDA017442,PRAZOSIN HYDROCHLORIDE,PRAZOSIN HYDROCHLORIDE,Prasco Laboratories,1976,Type 1 - New Molecular Entity
NDA017630,N/A,N/A,N/A,1976,Type 1 - New Molecular Entity
NDA017581,N/A,N/A,N/A,1976,Type 1 - New Molecular Entity
BLA017835,N/A,N/A,N/A,1976,Type 1 - New Molecular Entity
NDA017588,GLEOSTINE,LOMUSTINE,"NextSource Biotechnology, LLC",1976,Type 1 - New Molecular Entity
NDA017518,N/A,N/A,N/A,1976,Type 1 - New Molecular Entity
NDA017697,KINEVAC,SINCALIDE,Bracco Diagnostics Inc.,1976,Type 1 - New Molecular Entity
NDA017573,N/A,N/A,N/A,1976,Type 1 - New Molecular Entity
BLA017836,N/A,N/A,N/A,1976,Type 1 - New Molecular Entity
NDA017557,N/A,N/A,N/A,1976,Type 1 - New Molecular Entity
NDA017869,N/A,N/A,N/A,1976,Type 1 - New Molecular Entity
NDA017638,N/A,N/A,N/A,1976,Type 1 - New Molecular Entity
NDA017628,N/A,N/A,N/A,1976,Type 1 - New Molecular Entity
NDA017594,N/A,N/A,N/A,1976,Type 1 - New Molecular Entity
NDA017657,N/A,N/A,N/A,1976,Type 1 - New Molecular Entity
NDA017604,FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,"Misemer Pharmaceuticals, Inc.",1976,Type 1 - New Molecular Entity
NDA050486,N/A,N/A,N/A,1976,Type 1 - New Molecular Entity
NDA017851,N/A,N/A,N/A,1977,Type 1 - New Molecular Entity
NDA017856,N/A,N/A,N/A,1977,Type 1 - New Molecular Entity
NDA017563,COLESTID,COLESTIPOL HYDROCHLORIDE,Pharmacia & Upjohn Company LLC,1977,Type 1 - New Molecular Entity
NDA017741,N/A,N/A,N/A,1977,Type 1 - New Molecular Entity
NDA017601,N/A,N/A,N/A,1977,Type 1 - New Molecular Entity
NDA017821,N/A,N/A,N/A,1977,Type 1 - New Molecular Entity
NDA017535,N/A,N/A,N/A,1977,Type 1 - New Molecular Entity
NDA017831,N/A,N/A,N/A,1977,Type 1 - New Molecular Entity
NDA017970,N/A,N/A,N/A,1977,Type 1 - New Molecular Entity
NDA017765,N/A,N/A,N/A,1977,Type 1 - New Molecular Entity
NDA017422,CARMUSTINE,CARMUSTINE,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,1977,Type 1 - New Molecular Entity
NDA017661,N/A,N/A,N/A,1977,Type 1 - New Molecular Entity
NDA017447,DISOPYRAMIDE PHOSPHATE,DISOPYRAMIDE PHOSPHATE,Mylan Pharmaceuticals Inc.,1977,Type 1 - New Molecular Entity
NDA017806,N/A,N/A,N/A,1977,Type 1 - New Molecular Entity
NDA017794,ATIVAN,LORAZEPAM,Bausch Health US LLC,1977,Type 1 - New Molecular Entity
NDA018081,N/A,N/A,N/A,1978,Type 1 - New Molecular Entity
NDA017857,N/A,N/A,N/A,1978,Type 1 - New Molecular Entity
BLA101063,N/A,N/A,N/A,1978,Type 1 - New Molecular Entity
NDA017911,N/A,N/A,N/A,1978,Type 1 - New Molecular Entity
NDA017744,MOTOFEN,DIFENOXIN AND ATROPINE SULFATE,Legacy Pharma USA Inc.,1978,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA017922,N/A,N/A,N/A,1978,Type 1 - New Molecular Entity
NDA017788,RIMSO-50,DIMETHYL SULFOXIDE,Mylan Institutional LLC,1978,Type 1 - New Molecular Entity
NDA017982,N/A,N/A,N/A,1978,Type 1 - New Molecular Entity
NDA018057,CISPLATIN,CISPLATIN,"WG Critical Care, LLC",1978,Type 1 - New Molecular Entity
NDA018044,CALCITRIOL,CALCITRIOL,"Sun Pharmaceutical Industries, Inc.",1978,Type 1 - New Molecular Entity
NDA017820,N/A,N/A,N/A,1978,Type 1 - New Molecular Entity
NDA018086,TIMOPTIC,TIMOLOL MALEATE,Bausch & Lomb Incorporated,1978,Type 1 - New Molecular Entity
NDA017907,N/A,N/A,N/A,1978,Type 1 - New Molecular Entity
NDA017962,BROMOCRIPTINE MESYLATE,BROMOCRIPTINE MESYLATE,"ANI Pharmaceuticals, Inc.",1978,Type 1 - New Molecular Entity
NDA017963,LOPRESSOR,METOPROLOL TARTRATE,Validus Pharmaceuticals LLC,1978,Type 1 - New Molecular Entity
NDA017624,FORANE,ISOFLURANE,Baxter Healthcare Corporation,1979,Type 1 - New Molecular Entity
NDA018024,N/A,N/A,N/A,1979,Type 1 - New Molecular Entity
NDA017871,DEMSER,METYROSINE,"Bausch Health US, LLC",1979,Type 1 - New Molecular Entity
NDA017989,HEMABATE,CARBOPROST TROMETHAMINE,Pharmacia & Upjohn Company LLC,1979,Type 1 - New Molecular Entity
NDA050484,N/A,N/A,N/A,1979,Type 1 - New Molecular Entity
NDA018154,N/A,N/A,N/A,1979,Type 1 - New Molecular Entity
NDA018203,N/A,N/A,N/A,1979,Type 1 - New Molecular Entity
NDA016792,N/A,N/A,N/A,1979,Type 1 - New Molecular Entity
NDA018063,N/A,N/A,N/A,1979,Type 1 - New Molecular Entity
NDA018116,N/A,N/A,N/A,1979,Type 1 - New Molecular Entity
NDA018021,N/A,N/A,N/A,1980,Type 1 - New Molecular Entity
NDA017543,N/A,N/A,N/A,1980,Type 1 - New Molecular Entity
